column_name,column_description
date,The performance date of the record.
keyword_id,Unique identifier of the keyword.
pin_promotion_id,The ID of the related Pin promotion.
ad_group_id,The ID of the related Ad group.
ad_group_name,Name of the ad group.
ad_group_status,Status of the ad group.
campaign_id,The ID of the related Campaign.
advertiser_id,The ID of the related Advertiser.
_fivetran_synced,Timestamp of when a record was last synced.
impression_1,The number of paid pin impressions that occurred on the day of the record.
impression_2,The number of earned pin impressions that occurred on the day of the record.
clickthrough_1,The number of paid pin clicks that occurred on the day of the record.
clickthrough_2,The number of earned outbound clicks that occurred on the day of the record.
spend_in_micro_dollar,The amount of spend in micro dollars that occurred on the day of the record.
total_conversions,"This is the sum of all website conversions, otherwise known as the number of conversion events. For example, if you track sign-ups and checkouts on your website, it's the sum of all sign-ups and checkouts attributed from clicks, engagements, and views on Pinterest. Example: If a user clicks on a Pinterest ad and completes two different conversion actions (e.g., signs up and checks out), this would be counted as 2 total conversions."
total_conversions_quantity,"Refers to the total count of items or units involved in the conversions. This metric is often more granular and relates to the specific quantity of products or services purchased or actions taken. Example: If a single checkout includes three items, the total_conversions_quantity would be 3, even though it counts as one total_conversion."
total_conversions_value_in_micro_dollar,"Total conversions order value. The total value of the conversions, calculated by summing up the revenue or order values attributed to conversions. The value is expressed in microdollars, where one microdollar is one-millionth of a US dollar. Example: If the total order value from conversions is $50,000, this would be represented as 50,000,000,000 microdollars."
