column_name,column_description
_1_d_view,"Conversion metric value using an attribution window of ""1 day after viewing the ad"". Not included in downstream models by default, but can be added using the `facebook_ads__basic_ad_actions_passthrough_metrics` var."
_7_d_click,"Conversion metric value using an attribution window of ""7 days after clicking the ad"". Not included in downstream models by default, but can be added using the `facebook_ads__basic_ad_actions_passthrough_metrics` var."
_fivetran_id,Defunct field.
_fivetran_synced,When the record was last synced by Fivetran.
action_type,"The kind of actions taken on your ad, Page, app or event after your ad was served to someone, even if they didn't click on it. Action types include Page likes, app installs, conversions, event responses and more. Actions prepended by app_custom_event come from mobile app events and actions prepended by offsite_conversion come from the Facebook Pixel.
"
ad_id,The ID of the ad the report relates to.
date,The date of the reported performance.
index,Index reflecting the `action_type` tracked for this ad on this day. Column of not much consequence.
inline,"Conversion metric value using the attribution window that occurs on the ad itself. Not included in downstream models by default, but can be added using the `facebook_ads__basic_ad_actions_passthrough_metrics` var."
value,Conversion metric value using the default attribution window.
